C	A	T	Num_PDBs
3	40	50	1532
2	60	40	493
3	30	70	278
1	10	10	268
1	20	5	186
2	40	50	167
1	25	40	156
3	40	190	151
1	10	287	144
2	30	30	143
3	40	630	127
3	30	420	127
3	10	20	107
3	40	30	100
3	30	450	95
1	10	8	86
1	10	150	86
3	10	450	83
1	20	58	78
1	25	10	76
2	30	29	66
1	50	10	60
3	90	1150	59
1	10	357	55
1	10	238	54
2	80	10	53
3	30	200	50
2	40	30	49
3	30	160	48
3	30	470	46
3	30	40	45
3	10	129	44
2	160	20	43
3	90	550	41
3	30	360	40
3	30	1490	36
1	20	1050	36
3	30	230	35
3	30	1330	35
1	10	260	35
2	20	25	34
2	10	25	33
3	40	47	32
3	30	930	32
1	10	510	32
3	30	300	30
3	40	710	29
3	30	1360	28
3	10	180	28
3	90	79	26
3	90	226	26
1	20	1260	26
3	60	15	24
3	90	70	23
3	30	60	23
2	40	40	23
2	30	110	23
1	10	760	23
1	10	533	23
2	60	200	22
1	10	472	22
3	30	9	21
1	20	140	21
3	60	20	20
1	10	20	20
1	10	1200	20
3	40	390	19
3	30	1370	19
1	10	1040	19
3	90	1200	18
3	40	140	18
3	10	50	18
1	10	530	18
3	10	310	17
3	50	30	16
3	30	310	16
2	30	40	16
2	10	70	16
1	20	1070	16
1	10	490	16
3	90	25	15
3	40	220	15
3	30	465	15
2	40	70	15
2	30	42	15
1	10	3210	15
1	10	246	15
1	10	1220	15
1	10	12	15
3	90	180	14
3	40	720	14
3	40	250	14
3	40	120	14
3	10	580	14
2	160	10	14
3	40	1350	13
3	40	109	13
2	10	60	13
3	60	10	12
3	40	20	12
3	30	30	12
3	10	110	12
3	10	100	12
2	40	170	12
2	10	90	12
1	10	630	12
1	10	437	12
1	10	220	12
3	40	350	11
3	40	1280	11
3	30	750	11
3	30	505	11
3	30	43	11
3	10	28	11
1	20	910	11
1	20	1280	11
1	10	620	11
3	90	1720	10
3	40	1160	10
3	30	428	10
2	30	130	10
2	20	28	10
1	20	272	10
1	10	540	10
1	10	40	10
4	10	80	9
4	10	410	9
3	75	10	9
3	40	1390	9
3	30	710	9
3	30	379	9
3	30	365	9
3	10	290	9
2	40	240	9
2	20	70	9
2	10	50	9
1	20	1300	9
1	20	1290	9
1	10	340	9
1	10	132	9
6	10	250	8
6	10	140	8
4	10	470	8
4	10	280	8
3	90	660	8
3	90	176	8
3	90	1310	8
3	60	40	8
3	40	800	8
3	40	470	8
3	40	430	8
3	40	366	8
3	40	1380	8
3	40	1170	8
3	30	950	8
3	30	500	8
3	30	110	8
3	20	70	8
3	10	150	8
2	60	260	8
2	102	10	8
1	20	920	8
1	10	418	8
1	10	1410	8
3	90	380	7
3	60	130	7
3	40	91	7
3	40	80	7
3	40	605	7
3	40	33	7
3	30	540	7
3	30	413	7
3	30	1300	7
2	60	220	7
2	40	37	7
2	40	110	7
2	20	20	7
1	20	80	7
1	20	1090	7
1	10	405	7
1	10	1760	7
1	10	1740	7
1	10	110	7
4	10	1240	6
3	90	650	6
3	90	230	6
3	90	1300	6
3	50	4	6
3	40	718	6
3	40	525	6
3	40	309	6
3	40	1410	6
3	40	1310	6
3	40	1110	6
3	40	1010	6
3	30	590	6
3	30	190	6
3	30	1680	6
3	30	1520	6
3	30	1240	6
3	30	1120	6
3	30	1050	6
3	20	80	6
3	10	330	6
2	70	40	6
2	60	20	6
2	40	100	6
2	30	39	6
2	170	16	6
2	10	110	6
2	10	10	6
1	20	890	6
1	20	85	6
1	20	200	6
1	10	565	6
1	10	390	6
1	10	3290	6
1	10	275	6
1	10	240	6
