# CDF distribution statistics per L
L=2	N_self=174	N_sim=55	N_non=35247	KS(self,non)=0.779971	p=7.30e-112	WD=1.3100	KS(sim,non)=0.300022	p=6.91e-05	WD=0.5476
L=3	N_self=254	N_sim=412	N_non=179144	KS(self,non)=0.634413	p=1.07e-99	WD=0.8630	KS(sim,non)=0.187717	p=3.74e-13	WD=0.1415
L=4	N_self=209	N_sim=289	N_non=256137	KS(self,non)=0.573713	p=1.16e-65	WD=0.6262	KS(sim,non)=0.184658	p=4.25e-09	WD=0.1916
L=5	N_self=228	N_sim=981	N_non=479164	KS(self,non)=0.368092	p=3.26e-28	WD=0.3855	KS(sim,non)=0.077885	p=1.30e-05	WD=0.0686
L=6	N_self=76	N_sim=182	N_non=206958	KS(self,non)=0.419638	p=1.21e-12	WD=0.3394	KS(sim,non)=0.136630	p=2.00e-03	WD=0.1081
L=7	N_self=169	N_sim=693	N_non=546850	KS(self,non)=0.392761	p=5.28e-24	WD=0.3515	KS(sim,non)=0.102926	p=7.77e-07	WD=0.0623
L=8	N_self=106	N_sim=349	N_non=473599	KS(self,non)=0.463222	p=2.40e-21	WD=0.4118	KS(sim,non)=0.226452	p=3.29e-16	WD=0.1340
L=9	N_self=79	N_sim=258	N_non=368203	KS(self,non)=0.433545	p=5.13e-14	WD=0.4050	KS(sim,non)=0.056506	p=3.69e-01	WD=0.0296
L=10	N_self=127	N_sim=492	N_non=578091	KS(self,non)=0.295992	p=2.34e-10	WD=0.3550	KS(sim,non)=0.249588	p=1.73e-27	WD=0.2222
L=11	N_self=213	N_sim=1480	N_non=650102	KS(self,non)=0.258510	p=4.83e-13	WD=0.3069	KS(sim,non)=0.233581	p=2.36e-71	WD=0.2023
L=12	N_self=105	N_sim=311	N_non=534411	KS(self,non)=0.265322	p=5.15e-07	WD=0.3394	KS(sim,non)=0.071959	p=7.60e-02	WD=0.0307
L=13	N_self=96	N_sim=366	N_non=413291	KS(self,non)=0.122416	p=1.03e-01	WD=0.1617	KS(sim,non)=0.112728	p=1.66e-04	WD=0.0806
L=14	N_self=76	N_sim=377	N_non=390938	KS(self,non)=0.176196	p=1.56e-02	WD=0.2709	KS(sim,non)=0.210343	p=4.11e-15	WD=0.1467
L=15	N_self=67	N_sim=294	N_non=483758	KS(self,non)=0.272011	p=7.18e-05	WD=0.4848	KS(sim,non)=0.134530	p=4.22e-05	WD=0.1570
L=16	N_self=60	N_sim=283	N_non=529852	KS(self,non)=0.315135	p=8.53e-06	WD=0.7036	KS(sim,non)=0.151810	p=3.69e-06	WD=0.1101
L=18	N_self=50	N_sim=196	N_non=311175	KS(self,non)=0.117399	p=4.61e-01	WD=0.1727	KS(sim,non)=0.075534	p=2.03e-01	WD=0.1824
L=19	N_self=38	N_sim=106	N_non=382727	KS(self,non)=0.315142	p=7.46e-04	WD=1.0520	KS(sim,non)=0.214351	p=9.39e-05	WD=0.1805
L=20	N_self=52	N_sim=123	N_non=684456	KS(self,non)=0.246326	p=2.90e-03	WD=0.3522	KS(sim,non)=0.230550	p=3.13e-06	WD=0.1496
L=21	N_self=38	N_sim=74	N_non=379342	KS(self,non)=0.187229	p=1.22e-01	WD=0.5821	KS(sim,non)=0.118266	p=2.33e-01	WD=0.1294
L=22	N_self=59	N_sim=185	N_non=655419	KS(self,non)=0.366862	p=1.26e-07	WD=1.8016	KS(sim,non)=0.326276	p=4.89e-18	WD=0.2213
L=23	N_self=53	N_sim=107	N_non=552988	KS(self,non)=0.320517	p=2.41e-05	WD=0.5638	KS(sim,non)=0.262846	p=5.17e-07	WD=0.1724
L=24	N_self=56	N_sim=241	N_non=512111	KS(self,non)=0.249572	p=1.47e-03	WD=1.1812	KS(sim,non)=0.267059	p=1.15e-15	WD=0.4394
L=25	N_self=60	N_sim=170	N_non=1072976	KS(self,non)=0.375682	p=4.09e-08	WD=5.2952	KS(sim,non)=0.205728	p=8.70e-07	WD=0.1580
L=26	N_self=42	N_sim=130	N_non=491789	KS(self,non)=0.327268	p=1.66e-04	WD=1.7345	KS(sim,non)=0.198459	p=5.80e-05	WD=0.2649
L=27	N_self=103	N_sim=283	N_non=862486	KS(self,non)=0.263955	p=8.01e-07	WD=0.6487	KS(sim,non)=0.207368	p=3.76e-11	WD=0.0859
L=28	N_self=67	N_sim=392	N_non=667376	KS(self,non)=0.199606	p=8.14e-03	WD=2.4366	KS(sim,non)=0.187001	p=1.79e-12	WD=0.2352
L=30	N_self=64	N_sim=155	N_non=818089	KS(self,non)=0.282428	p=5.21e-05	WD=2.1404	KS(sim,non)=0.093720	p=1.23e-01	WD=0.3789
L=31	N_self=63	N_sim=138	N_non=792818	KS(self,non)=0.310132	p=7.02e-06	WD=3.7335	KS(sim,non)=0.117241	p=4.14e-02	WD=0.4086
L=32	N_self=50	N_sim=74	N_non=629290	KS(self,non)=0.224672	p=1.07e-02	WD=3.5585	KS(sim,non)=0.247915	p=1.71e-04	WD=0.3196
L=33	N_self=43	N_sim=94	N_non=694894	KS(self,non)=0.183122	p=9.82e-02	WD=4.4095	KS(sim,non)=0.169806	p=7.72e-03	WD=0.6182
L=35	N_self=54	N_sim=200	N_non=651287	KS(self,non)=0.166058	p=9.05e-02	WD=4.0311	KS(sim,non)=0.173529	p=9.76e-06	WD=0.5344
L=38	N_self=67	N_sim=118	N_non=572763	KS(self,non)=0.135837	p=1.54e-01	WD=1.9081	KS(sim,non)=0.137224	p=2.12e-02	WD=0.2701
L=40	N_self=58	N_sim=156	N_non=1058750	KS(self,non)=0.353201	p=5.61e-07	WD=10.0846	KS(sim,non)=0.104862	p=6.01e-02	WD=0.4661
L=42	N_self=31	N_sim=96	N_non=550125	KS(self,non)=0.466925	p=1.03e-06	WD=7.5253	KS(sim,non)=0.155928	p=1.67e-02	WD=0.5658
L=43	N_self=33	N_sim=89	N_non=499523	KS(self,non)=0.148239	p=4.22e-01	WD=9.3012	KS(sim,non)=0.043064	p=9.94e-01	WD=0.4942
L=46	N_self=32	N_sim=98	N_non=434429	KS(self,non)=0.137082	p=5.39e-01	WD=6.8559	KS(sim,non)=0.119723	p=1.11e-01	WD=0.5263
L=49	N_self=46	N_sim=112	N_non=662862	KS(self,non)=0.355043	p=1.08e-05	WD=17.1041	KS(sim,non)=0.193820	p=3.68e-04	WD=0.5665
L=50	N_self=42	N_sim=69	N_non=294877	KS(self,non)=0.146146	p=3.01e-01	WD=5.8793	KS(sim,non)=0.048459	p=9.94e-01	WD=0.8009
L=52	N_self=101	N_sim=305	N_non=1203539	KS(self,non)=0.393716	p=1.27e-14	WD=9.3336	KS(sim,non)=0.130955	p=5.08e-05	WD=0.8740
L=53	N_self=53	N_sim=138	N_non=925255	KS(self,non)=0.240199	p=3.55e-03	WD=18.2955	KS(sim,non)=0.055475	p=7.68e-01	WD=0.5496
L=54	N_self=80	N_sim=242	N_non=909375	KS(self,non)=0.211407	p=1.29e-03	WD=14.4708	KS(sim,non)=0.093358	p=2.75e-02	WD=0.6440
L=59	N_self=47	N_sim=118	N_non=781474	KS(self,non)=0.352406	p=1.00e-05	WD=29.0351	KS(sim,non)=0.070450	p=5.77e-01	WD=0.5684
L=60	N_self=80	N_sim=223	N_non=899519	KS(self,non)=0.236697	p=1.99e-04	WD=10.1201	KS(sim,non)=0.277785	p=1.05e-15	WD=0.7988
L=61	N_self=149	N_sim=422	N_non=1219126	KS(self,non)=0.275679	p=1.68e-10	WD=8.9043	KS(sim,non)=0.306062	p=1.38e-35	WD=0.8571
L=64	N_self=42	N_sim=141	N_non=630284	KS(self,non)=0.210900	p=4.06e-02	WD=20.1740	KS(sim,non)=0.042967	p=9.47e-01	WD=0.3871
L=65	N_self=78	N_sim=309	N_non=345289	KS(self,non)=0.165721	p=2.43e-02	WD=4.2617	KS(sim,non)=0.053099	p=3.36e-01	WD=1.1312
L=70	N_self=41	N_sim=100	N_non=454345	KS(self,non)=0.072860	p=9.70e-01	WD=19.9446	KS(sim,non)=0.024395	p=1.00e+00	WD=0.1780
L=71	N_self=38	N_sim=111	N_non=390557	KS(self,non)=0.218386	p=4.52e-02	WD=3.3470	KS(sim,non)=0.067603	p=6.65e-01	WD=0.7439
L=72	N_self=35	N_sim=67	N_non=230513	KS(self,non)=0.038541	p=1.00e+00	WD=3.0586	KS(sim,non)=0.077958	p=7.81e-01	WD=2.1517
L=77	N_self=30	N_sim=65	N_non=313620	KS(self,non)=0.195016	p=1.79e-01	WD=16.8591	KS(sim,non)=0.228061	p=1.87e-03	WD=0.3378
L=81	N_self=108	N_sim=601	N_non=595948	KS(self,non)=0.056957	p=8.55e-01	WD=10.4214	KS(sim,non)=0.066694	p=9.17e-03	WD=0.1262
L=82	N_self=53	N_sim=347	N_non=307577	KS(self,non)=0.089419	p=7.57e-01	WD=11.1552	KS(sim,non)=0.028737	p=9.29e-01	WD=0.1714
L=102	N_self=45	N_sim=69	N_non=319412	KS(self,non)=0.129774	p=4.00e-01	WD=12.7529	KS(sim,non)=0.049581	p=9.93e-01	WD=3.7614
L=105	N_self=34	N_sim=117	N_non=349222	KS(self,non)=0.248978	p=2.42e-02	WD=17.5078	KS(sim,non)=0.132118	p=3.06e-02	WD=1.9842
L=142	N_self=42	N_sim=138	N_non=312841	KS(self,non)=0.051256	p=1.00e+00	WD=13.9249	KS(sim,non)=0.007751	p=1.00e+00	WD=0.3636
