# CDF distribution statistics per L
L=4	N_self=209	N_sim=289	N_non=256137	KS(self,non)=0.387080	p=1.07e-28	WD=0.3847	KS(sim,non)=0.222285	p=5.04e-13	WD=0.1932
L=5	N_self=228	N_sim=981	N_non=479164	KS(self,non)=0.264675	p=1.38e-14	WD=0.2601	KS(sim,non)=0.094953	p=3.92e-08	WD=0.0713
L=6	N_self=76	N_sim=182	N_non=206958	KS(self,non)=0.262333	p=4.19e-05	WD=0.2032	KS(sim,non)=0.146712	p=6.97e-04	WD=0.0998
L=7	N_self=169	N_sim=693	N_non=546850	KS(self,non)=0.270979	p=1.88e-11	WD=0.2143	KS(sim,non)=0.109049	p=1.27e-07	WD=0.0664
L=8	N_self=106	N_sim=349	N_non=473599	KS(self,non)=0.385576	p=1.08e-14	WD=0.2985	KS(sim,non)=0.224524	p=6.13e-16	WD=0.1458
L=9	N_self=79	N_sim=258	N_non=368203	KS(self,non)=0.390298	p=2.38e-11	WD=0.2707	KS(sim,non)=0.057387	p=3.50e-01	WD=0.0357
L=10	N_self=127	N_sim=492	N_non=578091	KS(self,non)=0.264069	p=2.64e-08	WD=0.2396	KS(sim,non)=0.239507	p=2.54e-25	WD=0.2191
L=11	N_self=213	N_sim=1480	N_non=650102	KS(self,non)=0.229596	p=2.36e-10	WD=0.1964	KS(sim,non)=0.222095	p=1.79e-64	WD=0.1701
L=12	N_self=105	N_sim=311	N_non=534411	KS(self,non)=0.229974	p=2.30e-05	WD=0.1899	KS(sim,non)=0.052602	p=3.44e-01	WD=0.0218
L=13	N_self=96	N_sim=366	N_non=413291	KS(self,non)=0.116773	p=1.35e-01	WD=0.0355	KS(sim,non)=0.109582	p=2.78e-04	WD=0.0827
L=14	N_self=76	N_sim=377	N_non=390938	KS(self,non)=0.166212	p=2.65e-02	WD=0.1546	KS(sim,non)=0.200794	p=8.45e-14	WD=0.1394
L=15	N_self=67	N_sim=294	N_non=483758	KS(self,non)=0.330525	p=5.05e-07	WD=0.3169	KS(sim,non)=0.128303	p=1.12e-04	WD=0.1173
L=16	N_self=60	N_sim=283	N_non=529852	KS(self,non)=0.307291	p=1.58e-05	WD=0.4330	KS(sim,non)=0.144917	p=1.19e-05	WD=0.0728
L=18	N_self=50	N_sim=196	N_non=311175	KS(self,non)=0.117919	p=4.56e-01	WD=0.0528	KS(sim,non)=0.074420	p=2.17e-01	WD=0.1412
L=19	N_self=38	N_sim=106	N_non=382727	KS(self,non)=0.295809	p=1.92e-03	WD=0.6275	KS(sim,non)=0.246152	p=3.84e-06	WD=0.1361
L=20	N_self=52	N_sim=123	N_non=684456	KS(self,non)=0.240834	p=3.87e-03	WD=0.2131	KS(sim,non)=0.245866	p=4.93e-07	WD=0.0645
