# CDF distribution statistics per L
L=2	N_self=174	N_sim=55	N_non=35247	KS(self,non)=0.988506	p=0.00e+00	WD=35.2869	KS(sim,non)=0.321630	p=1.46e-05	WD=0.4569
L=3	N_self=254	N_sim=412	N_non=179144	KS(self,non)=0.921260	p=8.67e-281	WD=63.1782	KS(sim,non)=0.220345	p=5.26e-18	WD=0.3479
L=4	N_self=209	N_sim=289	N_non=256137	KS(self,non)=0.880383	p=4.92e-193	WD=85.8890	KS(sim,non)=0.150129	p=3.76e-06	WD=0.2157
L=5	N_self=228	N_sim=981	N_non=479164	KS(self,non)=0.653509	p=8.20e-96	WD=68.0237	KS(sim,non)=0.085871	p=9.93e-07	WD=0.1209
L=6	N_self=76	N_sim=182	N_non=206958	KS(self,non)=0.701819	p=4.38e-38	WD=87.0175	KS(sim,non)=0.141022	p=1.28e-03	WD=0.2462
L=7	N_self=169	N_sim=693	N_non=546850	KS(self,non)=0.597633	p=3.40e-58	WD=110.1278	KS(sim,non)=0.121894	p=2.03e-09	WD=0.1590
L=8	N_self=106	N_sim=349	N_non=473599	KS(self,non)=0.575472	p=8.68e-34	WD=124.5321	KS(sim,non)=0.175669	p=6.85e-10	WD=0.3172
L=9	N_self=79	N_sim=258	N_non=368203	KS(self,non)=0.481013	p=2.45e-17	WD=143.5966	KS(sim,non)=0.110297	p=3.45e-03	WD=0.5208
L=10	N_self=127	N_sim=492	N_non=578091	KS(self,non)=0.314038	p=1.25e-11	WD=91.8535	KS(sim,non)=0.253476	p=2.38e-28	WD=0.5931
L=11	N_self=213	N_sim=1480	N_non=650102	KS(self,non)=0.263979	p=1.37e-13	WD=52.9883	KS(sim,non)=0.221971	p=2.11e-64	WD=0.8208
L=12	N_self=105	N_sim=311	N_non=534411	KS(self,non)=0.304762	p=3.75e-09	WD=90.6666	KS(sim,non)=0.072303	p=7.37e-02	WD=0.4403
L=13	N_self=96	N_sim=366	N_non=413291	KS(self,non)=0.135412	p=5.37e-02	WD=39.5900	KS(sim,non)=0.131124	p=6.02e-06	WD=0.6007
L=14	N_self=76	N_sim=377	N_non=390938	KS(self,non)=0.219074	p=1.11e-03	WD=29.4064	KS(sim,non)=0.203834	p=3.28e-14	WD=1.1690
L=15	N_self=67	N_sim=294	N_non=483758	KS(self,non)=0.245790	p=4.74e-04	WD=39.8112	KS(sim,non)=0.124843	p=1.88e-04	WD=1.8862
L=16	N_self=60	N_sim=283	N_non=529852	KS(self,non)=0.281990	p=1.03e-04	WD=54.7801	KS(sim,non)=0.152976	p=3.01e-06	WD=1.5317
L=18	N_self=50	N_sim=196	N_non=311175	KS(self,non)=0.136558	p=2.82e-01	WD=7.8289	KS(sim,non)=0.090493	p=7.58e-02	WD=2.6836
L=19	N_self=38	N_sim=106	N_non=382727	KS(self,non)=0.310266	p=9.53e-04	WD=22.5070	KS(sim,non)=0.201705	p=2.95e-04	WD=1.7966
L=20	N_self=52	N_sim=123	N_non=684456	KS(self,non)=0.246871	p=2.81e-03	WD=12.2801	KS(sim,non)=0.241185	p=8.79e-07	WD=3.1116
L=21	N_self=38	N_sim=74	N_non=379342	KS(self,non)=0.223206	p=3.82e-02	WD=27.7855	KS(sim,non)=0.100265	p=4.19e-01	WD=3.2752
L=22	N_self=59	N_sim=185	N_non=655419	KS(self,non)=0.340512	p=1.31e-06	WD=38.1310	KS(sim,non)=0.305331	p=8.35e-16	WD=1.6238
L=23	N_self=53	N_sim=107	N_non=552988	KS(self,non)=0.318259	p=2.84e-05	WD=10.6197	KS(sim,non)=0.236933	p=9.08e-06	WD=2.0810
L=24	N_self=56	N_sim=241	N_non=512111	KS(self,non)=0.242687	p=2.18e-03	WD=22.9848	KS(sim,non)=0.260174	p=7.03e-15	WD=8.2454
L=25	N_self=60	N_sim=170	N_non=1072976	KS(self,non)=0.349183	p=4.82e-07	WD=80.4475	KS(sim,non)=0.196398	p=3.20e-06	WD=1.1738
L=26	N_self=42	N_sim=130	N_non=491789	KS(self,non)=0.295116	p=9.76e-04	WD=35.0407	KS(sim,non)=0.181009	p=3.37e-04	WD=3.0119
L=27	N_self=103	N_sim=283	N_non=862486	KS(self,non)=0.254326	p=2.32e-06	WD=10.6501	KS(sim,non)=0.197720	p=3.60e-10	WD=1.1841
L=28	N_self=67	N_sim=392	N_non=667376	KS(self,non)=0.177585	p=2.55e-02	WD=44.3155	KS(sim,non)=0.174333	p=6.87e-11	WD=4.1807
L=30	N_self=64	N_sim=155	N_non=818089	KS(self,non)=0.275242	p=8.90e-05	WD=46.1094	KS(sim,non)=0.097474	p=9.83e-02	WD=5.3210
L=31	N_self=63	N_sim=138	N_non=792818	KS(self,non)=0.313528	p=5.30e-06	WD=56.8556	KS(sim,non)=0.139615	p=8.27e-03	WD=6.0050
L=32	N_self=50	N_sim=74	N_non=629290	KS(self,non)=0.225666	p=1.02e-02	WD=43.2203	KS(sim,non)=0.228910	p=6.85e-04	WD=5.9120
L=33	N_self=43	N_sim=94	N_non=694894	KS(self,non)=0.225314	p=2.12e-02	WD=56.4605	KS(sim,non)=0.153304	p=2.15e-02	WD=7.9313
L=35	N_self=54	N_sim=200	N_non=651287	KS(self,non)=0.168560	p=8.25e-02	WD=46.1441	KS(sim,non)=0.173932	p=9.22e-06	WD=4.6565
L=38	N_self=67	N_sim=118	N_non=572763	KS(self,non)=0.133297	p=1.69e-01	WD=23.9683	KS(sim,non)=0.132962	p=2.80e-02	WD=1.7943
L=40	N_self=58	N_sim=156	N_non=1058750	KS(self,non)=0.337943	p=2.06e-06	WD=64.4433	KS(sim,non)=0.115853	p=2.79e-02	WD=2.0457
L=42	N_self=31	N_sim=96	N_non=550125	KS(self,non)=0.467918	p=9.61e-07	WD=53.5936	KS(sim,non)=0.143591	p=3.44e-02	WD=2.0919
L=43	N_self=33	N_sim=89	N_non=499523	KS(self,non)=0.145059	p=4.49e-01	WD=41.3933	KS(sim,non)=0.045455	p=9.89e-01	WD=1.0623
L=46	N_self=32	N_sim=98	N_non=434429	KS(self,non)=0.174204	p=2.55e-01	WD=49.9285	KS(sim,non)=0.129976	p=6.65e-02	WD=3.5093
L=49	N_self=46	N_sim=112	N_non=662862	KS(self,non)=0.337647	p=3.51e-05	WD=28.9631	KS(sim,non)=0.195981	p=3.04e-04	WD=0.6113
L=50	N_self=42	N_sim=69	N_non=294877	KS(self,non)=0.154145	p=2.45e-01	WD=16.8586	KS(sim,non)=0.054249	p=9.81e-01	WD=3.0278
L=52	N_self=101	N_sim=305	N_non=1203539	KS(self,non)=0.393730	p=1.27e-14	WD=48.7469	KS(sim,non)=0.125901	p=1.13e-04	WD=0.5064
L=53	N_self=53	N_sim=138	N_non=925255	KS(self,non)=0.242016	p=3.23e-03	WD=39.3077	KS(sim,non)=0.063456	p=6.12e-01	WD=1.4847
L=54	N_self=80	N_sim=242	N_non=909375	KS(self,non)=0.208991	p=1.52e-03	WD=25.5084	KS(sim,non)=0.096864	p=1.99e-02	WD=4.0773
L=59	N_self=47	N_sim=118	N_non=781474	KS(self,non)=0.345737	p=1.60e-05	WD=38.4491	KS(sim,non)=0.057033	p=8.16e-01	WD=6.4685
L=60	N_self=80	N_sim=223	N_non=899519	KS(self,non)=0.221939	p=6.09e-04	WD=22.4636	KS(sim,non)=0.267511	p=1.40e-14	WD=4.8805
L=61	N_self=149	N_sim=422	N_non=1219126	KS(self,non)=0.275439	p=1.75e-10	WD=17.0767	KS(sim,non)=0.306732	p=9.61e-36	WD=3.7969
L=64	N_self=42	N_sim=141	N_non=630284	KS(self,non)=0.216250	p=3.33e-02	WD=28.5334	KS(sim,non)=0.039637	p=9.73e-01	WD=0.7993
L=65	N_self=78	N_sim=309	N_non=345289	KS(self,non)=0.172274	p=1.71e-02	WD=16.3201	KS(sim,non)=0.059367	p=2.17e-01	WD=4.7895
L=70	N_self=41	N_sim=100	N_non=454345	KS(self,non)=0.065685	p=9.89e-01	WD=19.7040	KS(sim,non)=0.026468	p=1.00e+00	WD=0.7563
L=71	N_self=38	N_sim=111	N_non=390557	KS(self,non)=0.214284	p=5.20e-02	WD=26.2115	KS(sim,non)=0.063501	p=7.38e-01	WD=2.7318
L=72	N_self=35	N_sim=67	N_non=230513	KS(self,non)=0.055512	p=1.00e+00	WD=16.5230	KS(sim,non)=0.072956	p=8.42e-01	WD=4.7332
L=77	N_self=30	N_sim=65	N_non=313620	KS(self,non)=0.196738	p=1.71e-01	WD=17.7403	KS(sim,non)=0.226339	p=2.08e-03	WD=2.3563
L=81	N_self=108	N_sim=601	N_non=595948	KS(self,non)=0.058571	p=8.31e-01	WD=9.1233	KS(sim,non)=0.066644	p=9.24e-03	WD=1.0116
L=82	N_self=53	N_sim=347	N_non=307577	KS(self,non)=0.091467	p=7.32e-01	WD=10.0387	KS(sim,non)=0.030785	p=8.87e-01	WD=0.4446
L=102	N_self=45	N_sim=69	N_non=319412	KS(self,non)=0.130939	p=3.90e-01	WD=11.7677	KS(sim,non)=0.052931	p=9.85e-01	WD=15.8106
L=105	N_self=34	N_sim=117	N_non=349222	KS(self,non)=0.248360	p=2.47e-02	WD=16.9721	KS(sim,non)=0.124189	p=4.96e-02	WD=7.0096
L=142	N_self=42	N_sim=138	N_non=312841	KS(self,non)=0.050879	p=1.00e+00	WD=13.8420	KS(sim,non)=0.008128	p=1.00e+00	WD=0.4465
