# Statistics per L
L=2	N_self=174	N_similar=55	N_non=35247	KS(s,n)=0.779971	p(s,n)=7.305e-112	d(s,n)=2.386	KS(s,si)=0.508986	p(s,si)=1.794e-10	d(s,si)=1.167	KS(si,n)=0.300022	p(si,n)=6.912e-05	d(si,n)=0.814
L=3	N_self=254	N_similar=412	N_non=179144	KS(s,n)=0.634413	p(s,n)=1.072e-99	d(s,n)=1.692	KS(s,si)=0.609739	p(s,si)=3.958e-55	d(s,si)=1.379	KS(si,n)=0.187717	p(si,n)=3.742e-13	d(si,n)=0.307
L=4	N_self=209	N_similar=289	N_non=256137	KS(s,n)=0.573713	p(s,n)=1.158e-65	d(s,n)=1.455	KS(s,si)=0.442675	p(s,si)=6.182e-22	d(s,si)=1.036	KS(si,n)=0.184658	p(si,n)=4.248e-09	d(si,n)=0.461
L=5	N_self=228	N_similar=981	N_non=479164	KS(s,n)=0.368092	p(s,n)=3.261e-28	d(s,n)=0.931	KS(s,si)=0.439321	p(s,si)=8.607e-33	d(s,si)=1.098	KS(si,n)=0.077885	p(si,n)=1.301e-05	d(si,n)=-0.189
L=6	N_self=76	N_similar=182	N_non=206958	KS(s,n)=0.419638	p(s,n)=1.209e-12	d(s,n)=0.907	KS(s,si)=0.335743	p(s,si)=7.098e-06	d(s,si)=0.638	KS(si,n)=0.136630	p(si,n)=2.002e-03	d(si,n)=0.308
L=7	N_self=169	N_similar=693	N_non=546850	KS(s,n)=0.392761	p(s,n)=5.276e-24	d(s,n)=0.845	KS(s,si)=0.441661	p(s,si)=1.777e-24	d(s,si)=0.955	KS(si,n)=0.102926	p(si,n)=7.774e-07	d(si,n)=-0.152
L=8	N_self=106	N_similar=349	N_non=473599	KS(s,n)=0.463222	p(s,n)=2.397e-21	d(s,n)=1.141	KS(s,si)=0.361194	p(s,si)=5.725e-10	d(s,si)=0.763	KS(si,n)=0.226452	p(si,n)=3.291e-16	d(si,n)=0.401
L=9	N_self=79	N_similar=258	N_non=368203	KS(s,n)=0.433545	p(s,n)=5.130e-14	d(s,n)=1.012	KS(s,si)=0.430870	p(s,si)=1.174e-10	d(s,si)=1.000	KS(si,n)=0.056506	p(si,n)=3.685e-01	d(si,n)=0.046
L=10	N_self=127	N_similar=492	N_non=578091	KS(s,n)=0.295992	p(s,n)=2.338e-10	d(s,n)=0.702	KS(s,si)=0.191457	p(s,si)=1.010e-03	d(s,si)=0.252	KS(si,n)=0.249588	p(si,n)=1.727e-27	d(si,n)=0.487
L=11	N_self=213	N_similar=1480	N_non=650102	KS(s,n)=0.258510	p(s,n)=4.830e-13	d(s,n)=0.673	KS(s,si)=0.137632	p(s,si)=1.531e-03	d(s,si)=0.222	KS(si,n)=0.233581	p(si,n)=2.363e-71	d(si,n)=0.489
L=12	N_self=105	N_similar=311	N_non=534411	KS(s,n)=0.265322	p(s,n)=5.154e-07	d(s,n)=0.626	KS(s,si)=0.268780	p(s,si)=1.689e-05	d(s,si)=0.594	KS(si,n)=0.071959	p(si,n)=7.599e-02	d(si,n)=0.039
L=13	N_self=96	N_similar=366	N_non=413291	KS(s,n)=0.122416	p(s,n)=1.034e-01	d(s,n)=0.254	KS(s,si)=0.134563	p(s,si)=1.147e-01	d(s,si)=0.342	KS(si,n)=0.112728	p(si,n)=1.658e-04	d(si,n)=-0.096
L=14	N_self=76	N_similar=377	N_non=390938	KS(s,n)=0.176196	p(s,n)=1.556e-02	d(s,n)=0.383	KS(s,si)=0.366118	p(s,si)=4.257e-08	d(s,si)=0.631	KS(si,n)=0.210343	p(si,n)=4.111e-15	d(si,n)=-0.278
L=15	N_self=67	N_similar=294	N_non=483758	KS(s,n)=0.272011	p(s,n)=7.176e-05	d(s,n)=0.498	KS(s,si)=0.313941	p(s,si)=2.844e-05	d(s,si)=0.662	KS(si,n)=0.134530	p(si,n)=4.217e-05	d(si,n)=-0.153
L=16	N_self=60	N_similar=283	N_non=529852	KS(s,n)=0.315135	p(s,n)=8.533e-06	d(s,n)=0.585	KS(s,si)=0.369847	p(s,si)=1.458e-06	d(s,si)=0.671	KS(si,n)=0.151810	p(si,n)=3.689e-06	d(si,n)=-0.082
L=18	N_self=50	N_similar=196	N_non=311175	KS(s,n)=0.117399	p(s,n)=4.613e-01	d(s,n)=0.141	KS(s,si)=0.172041	p(s,si)=1.654e-01	d(s,si)=0.305	KS(si,n)=0.075534	p(si,n)=2.029e-01	d(si,n)=-0.162
