# Statistics per L
L=2	N_self=174	N_similar=55	N_non=35247	KS(s,n)=0.988506	p(s,n)=0.000e+00	d(s,n)=12.452	KS(s,si)=0.988506	p(s,si)=7.720e-51	d(s,si)=11.593	KS(si,n)=0.339820	p(si,n)=3.593e-06	d(si,n)=0.783
L=3	N_self=254	N_similar=412	N_non=179144	KS(s,n)=0.921260	p(s,n)=8.667e-281	d(s,n)=4.898	KS(s,si)=0.921260	p(s,si)=2.079e-145	d(s,si)=4.785	KS(si,n)=0.273018	p(si,n)=1.467e-27	d(si,n)=0.514
L=4	N_self=209	N_similar=289	N_non=256137	KS(s,n)=0.880383	p(s,n)=4.923e-193	d(s,n)=3.830	KS(s,si)=0.880383	p(s,si)=3.597e-99	d(s,si)=3.792	KS(si,n)=0.146278	p(si,n)=7.338e-06	d(si,n)=0.265
L=5	N_self=228	N_similar=981	N_non=479164	KS(s,n)=0.653509	p(s,n)=8.204e-96	d(s,n)=1.939	KS(s,si)=0.654126	p(s,si)=2.585e-76	d(s,si)=1.952	KS(si,n)=0.082416	p(si,n)=3.117e-06	d(si,n)=-0.122
L=6	N_self=76	N_similar=182	N_non=206958	KS(s,n)=0.700983	p(s,n)=5.605e-38	d(s,n)=2.084	KS(s,si)=0.688548	p(s,si)=5.028e-25	d(s,si)=2.059	KS(si,n)=0.140307	p(si,n)=1.375e-03	d(si,n)=0.232
L=7	N_self=169	N_similar=693	N_non=546850	KS(s,n)=0.597633	p(s,n)=3.395e-58	d(s,n)=1.708	KS(s,si)=0.597633	p(s,si)=4.209e-46	d(s,si)=1.718	KS(si,n)=0.122572	p(si,n)=1.613e-09	d(si,n)=-0.106
L=8	N_self=106	N_similar=349	N_non=473599	KS(s,n)=0.575472	p(s,n)=8.681e-34	d(s,n)=1.646	KS(s,si)=0.575472	p(s,si)=1.302e-25	d(s,si)=1.648	KS(si,n)=0.163053	p(si,n)=1.416e-08	d(si,n)=-0.003
L=9	N_self=79	N_similar=258	N_non=368203	KS(s,n)=0.481013	p(s,n)=2.452e-17	d(s,n)=1.357	KS(s,si)=0.492101	p(s,si)=6.589e-14	d(s,si)=1.372	KS(si,n)=0.101450	p(si,n)=9.159e-03	d(si,n)=-0.169
L=10	N_self=127	N_similar=492	N_non=578091	KS(s,n)=0.315953	p(s,n)=9.057e-12	d(s,n)=0.946	KS(s,si)=0.324611	p(s,si)=6.005e-10	d(s,si)=0.929	KS(si,n)=0.237515	p(si,n)=6.647e-25	d(si,n)=0.195
L=11	N_self=213	N_similar=1480	N_non=650102	KS(s,n)=0.269469	p(s,n)=3.768e-14	d(s,n)=0.679	KS(s,si)=0.195518	p(s,si)=1.034e-06	d(s,si)=0.651	KS(si,n)=0.208780	p(si,n)=5.933e-57	d(si,n)=0.296
L=12	N_self=105	N_similar=311	N_non=534411	KS(s,n)=0.310660	p(s,n)=1.687e-09	d(s,n)=0.937	KS(s,si)=0.320349	p(s,si)=1.178e-07	d(s,si)=0.941	KS(si,n)=0.064041	p(si,n)=1.493e-01	d(si,n)=-0.048
L=13	N_self=96	N_similar=366	N_non=413291	KS(s,n)=0.196831	p(s,n)=9.820e-04	d(s,n)=0.573	KS(s,si)=0.240096	p(s,si)=2.414e-04	d(s,si)=0.580	KS(si,n)=0.129192	p(si,n)=8.726e-06	d(si,n)=-0.087
L=14	N_self=76	N_similar=377	N_non=390938	KS(s,n)=0.353433	p(s,n)=5.360e-09	d(s,n)=0.539	KS(s,si)=0.435607	p(s,si)=2.244e-11	d(s,si)=0.561	KS(si,n)=0.199210	p(si,n)=1.375e-13	d(si,n)=-0.216
L=15	N_self=67	N_similar=294	N_non=483758	KS(s,n)=0.283544	p(s,n)=2.932e-05	d(s,n)=0.625	KS(s,si)=0.357041	p(s,si)=1.018e-06	d(s,si)=0.644	KS(si,n)=0.114590	p(si,n)=8.077e-04	d(si,n)=-0.190
L=16	N_self=60	N_similar=283	N_non=529852	KS(s,n)=0.392280	p(s,n)=7.861e-09	d(s,n)=0.765	KS(s,si)=0.414664	p(s,si)=3.478e-08	d(s,si)=0.772	KS(si,n)=0.146932	p(si,n)=8.508e-06	d(si,n)=-0.094
L=18	N_self=50	N_similar=196	N_non=311175	KS(s,n)=0.303096	p(s,n)=1.426e-04	d(s,n)=0.421	KS(s,si)=0.354082	p(s,si)=5.726e-05	d(s,si)=0.450	KS(si,n)=0.095271	p(si,n)=5.331e-02	d(si,n)=-0.162
L=19	N_self=38	N_similar=106	N_non=382727	KS(s,n)=0.380504	p(s,n)=1.866e-05	d(s,n)=0.623	KS(s,si)=0.402185	p(s,si)=1.385e-04	d(s,si)=0.615	KS(si,n)=0.251236	p(si,n)=2.207e-06	d(si,n)=0.076
L=20	N_self=52	N_similar=123	N_non=684456	KS(s,n)=0.342996	p(s,n)=5.761e-06	d(s,n)=0.612	KS(s,si)=0.422608	p(s,si)=2.131e-06	d(s,si)=0.571	KS(si,n)=0.225911	p(si,n)=5.354e-06	d(si,n)=0.098
L=21	N_self=38	N_similar=74	N_non=379342	KS(s,n)=0.312466	p(s,n)=8.542e-04	d(s,n)=0.593	KS(s,si)=0.312945	p(s,si)=1.078e-02	d(s,si)=0.600	KS(si,n)=0.109750	p(si,n)=3.116e-01	d(si,n)=-0.064
L=22	N_self=59	N_similar=185	N_non=655419	KS(s,n)=0.338272	p(s,n)=1.586e-06	d(s,n)=0.730	KS(s,si)=0.305818	p(s,si)=3.247e-04	d(s,si)=0.734	KS(si,n)=0.296953	p(si,n)=5.879e-15	d(si,n)=-0.020
L=23	N_self=53	N_similar=107	N_non=552988	KS(s,n)=0.308571	p(s,n)=5.592e-05	d(s,n)=0.681	KS(s,si)=0.296949	p(s,si)=2.639e-03	d(s,si)=0.663	KS(si,n)=0.236723	p(si,n)=9.281e-06	d(si,n)=0.060
L=24	N_self=56	N_similar=241	N_non=512111	KS(s,n)=0.232292	p(s,n)=3.859e-03	d(s,n)=0.639	KS(s,si)=0.233402	p(s,si)=1.146e-02	d(s,si)=0.648	KS(si,n)=0.245305	p(si,n)=2.953e-13	d(si,n)=-0.018
L=25	N_self=60	N_similar=170	N_non=1072976	KS(s,n)=0.406058	p(s,n)=1.877e-09	d(s,n)=1.074	KS(s,si)=0.387255	p(s,si)=1.840e-06	d(s,si)=0.992	KS(si,n)=0.222341	p(si,n)=7.303e-08	d(si,n)=0.228
L=26	N_self=42	N_similar=130	N_non=491789	KS(s,n)=0.269063	p(s,n)=3.555e-03	d(s,n)=0.755	KS(s,si)=0.270330	p(s,si)=1.514e-02	d(s,si)=0.753	KS(si,n)=0.165632	p(si,n)=1.384e-03	d(si,n)=0.039
L=27	N_self=103	N_similar=283	N_non=862486	KS(s,n)=0.215368	p(s,n)=1.131e-04	d(s,n)=0.477	KS(s,si)=0.154448	p(s,si)=4.766e-02	d(s,si)=0.476	KS(si,n)=0.179106	p(si,n)=2.053e-08	d(si,n)=0.009
L=28	N_self=67	N_similar=392	N_non=667376	KS(s,n)=0.230903	p(s,n)=1.268e-03	d(s,n)=0.659	KS(s,si)=0.238425	p(s,si)=2.378e-03	d(s,si)=0.660	KS(si,n)=0.124061	p(si,n)=1.022e-05	d(si,n)=0.005
L=30	N_self=64	N_similar=155	N_non=818089	KS(s,n)=0.251653	p(s,n)=4.653e-04	d(s,n)=0.747	KS(s,si)=0.250000	p(s,si)=5.464e-03	d(s,si)=0.704	KS(si,n)=0.117415	p(si,n)=2.557e-02	d(si,n)=0.191
L=31	N_self=63	N_similar=138	N_non=792818	KS(s,n)=0.221870	p(s,n)=3.324e-03	d(s,n)=0.723	KS(s,si)=0.222222	p(s,si)=2.297e-02	d(s,si)=0.709	KS(si,n)=0.131387	p(si,n)=1.545e-02	d(si,n)=0.085
