# Statistics per L
L=2	N_self=419	N_similar=3628	N_non=2958295	KS(s,n)=0.346195	p(s,n)=2.295e-45	d(s,n)=0.859	KS(s,si)=0.187165	p(s,si)=5.457e-12	d(s,si)=0.391	KS(si,n)=0.220412	p(si,n)=4.235e-155	d(si,n)=0.558
L=3	N_self=1316	N_similar=13104	N_non=11644460	KS(s,n)=0.107122	p(s,n)=1.323e-13	d(s,n)=0.339	KS(s,si)=0.143091	p(s,si)=7.859e-22	d(s,si)=0.335	KS(si,n)=0.071004	p(si,n)=7.950e-58	d(si,n)=0.024
L=4	N_self=1193	N_similar=9948	N_non=16756508	KS(s,n)=0.108285	p(s,n)=1.229e-12	d(s,n)=0.269	KS(s,si)=0.070469	p(s,si)=4.788e-05	d(s,si)=0.153	KS(si,n)=0.057497	p(si,n)=5.194e-29	d(si,n)=0.120
L=5	N_self=2117	N_similar=24072	N_non=22157349	KS(s,n)=0.079156	p(s,n)=5.518e-12	d(s,n)=0.120	KS(s,si)=0.108133	p(s,si)=2.858e-20	d(s,si)=0.223	KS(si,n)=0.051139	p(si,n)=4.301e-55	d(si,n)=-0.107
L=6	N_self=747	N_similar=3812	N_non=7918604	KS(s,n)=0.144692	p(s,n)=4.122e-14	d(s,n)=0.278	KS(s,si)=0.029923	p(s,si)=6.181e-01	d(s,si)=0.041	KS(si,n)=0.123434	p(si,n)=4.734e-51	d(si,n)=0.236
L=7	N_self=1687	N_similar=12104	N_non=17714293	KS(s,n)=0.095080	p(s,n)=1.004e-13	d(s,n)=0.177	KS(s,si)=0.050381	p(s,si)=1.047e-03	d(s,si)=0.057	KS(si,n)=0.089115	p(si,n)=4.914e-84	d(si,n)=0.121
L=8	N_self=963	N_similar=7300	N_non=13546125	KS(s,n)=0.116583	p(s,n)=7.352e-12	d(s,n)=0.233	KS(s,si)=0.115949	p(s,si)=2.018e-10	d(s,si)=0.217	KS(si,n)=0.041313	p(si,n)=2.945e-11	d(si,n)=0.018
L=9	N_self=624	N_similar=3671	N_non=8825993	KS(s,n)=0.124798	p(s,n)=6.264e-09	d(s,n)=0.282	KS(s,si)=0.101481	p(s,si)=3.085e-05	d(s,si)=0.178	KS(si,n)=0.052114	p(si,n)=4.229e-09	d(si,n)=0.100
L=10	N_self=1106	N_similar=5949	N_non=13318605	KS(s,n)=0.072547	p(s,n)=1.656e-05	d(s,n)=0.127	KS(s,si)=0.058446	p(s,si)=3.262e-03	d(s,si)=0.108	KS(si,n)=0.022942	p(si,n)=3.765e-03	d(si,n)=0.019
L=11	N_self=1410	N_similar=10174	N_non=15968102	KS(s,n)=0.049332	p(s,n)=2.019e-03	d(s,n)=0.055	KS(s,si)=0.025891	p(s,si)=3.714e-01	d(s,si)=0.017	KS(si,n)=0.041813	p(si,n)=6.957e-16	d(si,n)=0.038
L=12	N_self=726	N_similar=4088	N_non=10738143	KS(s,n)=0.088900	p(s,n)=1.924e-05	d(s,n)=0.124	KS(s,si)=0.091153	p(s,si)=6.548e-05	d(s,si)=0.203	KS(si,n)=0.125160	p(si,n)=2.995e-56	d(si,n)=-0.084
L=13	N_self=464	N_similar=2514	N_non=6469246	KS(s,n)=0.059464	p(s,n)=7.215e-02	d(s,n)=0.095	KS(s,si)=0.098819	p(s,si)=8.744e-04	d(s,si)=0.141	KS(si,n)=0.084426	p(si,n)=4.954e-16	d(si,n)=-0.050
L=14	N_self=395	N_similar=2177	N_non=5388607	KS(s,n)=0.056234	p(s,n)=1.583e-01	d(s,n)=0.070	KS(s,si)=0.078916	p(s,si)=2.921e-02	d(s,si)=0.105	KS(si,n)=0.075446	p(si,n)=3.224e-11	d(si,n)=-0.036
L=15	N_self=209	N_similar=1040	N_non=3092836	KS(s,n)=0.088424	p(s,n)=7.162e-02	d(s,n)=0.155	KS(s,si)=0.158387	p(s,si)=2.771e-04	d(s,si)=0.253	KS(si,n)=0.124910	p(si,n)=1.331e-14	d(si,n)=-0.101
L=16	N_self=215	N_similar=876	N_non=3406979	KS(s,n)=0.147384	p(s,n)=1.535e-04	d(s,n)=0.310	KS(s,si)=0.123378	p(s,si)=9.398e-03	d(s,si)=0.224	KS(si,n)=0.074704	p(si,n)=1.069e-04	d(si,n)=0.087
