# Statistics per L
L=2	N_self=419	N_similar=3628	N_non=2958295	KS(s,n)=0.361568	p(s,n)=1.421e-49	d(s,n)=0.972	KS(s,si)=0.336531	p(s,si)=2.350e-38	d(s,si)=0.637	KS(si,n)=0.203909	p(si,n)=1.353e-132	d(si,n)=0.458
L=3	N_self=1316	N_similar=13104	N_non=11644460	KS(s,n)=0.143551	p(s,n)=3.973e-24	d(s,n)=0.428	KS(s,si)=0.144749	p(s,si)=2.481e-22	d(s,si)=0.373	KS(si,n)=0.064558	p(si,n)=7.179e-48	d(si,n)=0.082
L=4	N_self=1193	N_similar=9948	N_non=16756508	KS(s,n)=0.144967	p(s,n)=2.417e-22	d(s,n)=0.365	KS(s,si)=0.129081	p(s,si)=6.226e-16	d(s,si)=0.275	KS(si,n)=0.063401	p(si,n)=3.474e-35	d(si,n)=0.101
L=5	N_self=2117	N_similar=24072	N_non=22157349	KS(s,n)=0.085647	p(s,n)=5.848e-14	d(s,n)=0.180	KS(s,si)=0.103386	p(s,si)=1.456e-18	d(s,si)=0.258	KS(si,n)=0.048794	p(si,n)=3.428e-50	d(si,n)=-0.086
L=6	N_self=747	N_similar=3812	N_non=7918604	KS(s,n)=0.160329	p(s,n)=3.048e-17	d(s,n)=0.322	KS(s,si)=0.076402	p(s,si)=1.277e-03	d(s,si)=0.119	KS(si,n)=0.120853	p(si,n)=5.979e-49	d(si,n)=0.208
L=7	N_self=1687	N_similar=12104	N_non=17714293	KS(s,n)=0.099847	p(s,n)=4.297e-15	d(s,n)=0.202	KS(s,si)=0.048001	p(s,si)=2.099e-03	d(s,si)=0.097	KS(si,n)=0.060055	p(si,n)=2.294e-38	d(si,n)=0.105
L=8	N_self=963	N_similar=7300	N_non=13546125	KS(s,n)=0.117220	p(s,n)=5.508e-12	d(s,n)=0.265	KS(s,si)=0.114256	p(s,si)=3.934e-10	d(s,si)=0.243	KS(si,n)=0.029282	p(si,n)=7.207e-06	d(si,n)=0.022
L=9	N_self=624	N_similar=3671	N_non=8825993	KS(s,n)=0.123767	p(s,n)=8.650e-09	d(s,n)=0.315	KS(s,si)=0.101884	p(s,si)=2.825e-05	d(s,si)=0.220	KS(si,n)=0.044907	p(si,n)=7.225e-07	d(si,n)=0.091
L=10	N_self=1106	N_similar=5949	N_non=13318605	KS(s,n)=0.073586	p(s,n)=1.182e-05	d(s,n)=0.155	KS(s,si)=0.059618	p(s,si)=2.517e-03	d(s,si)=0.107	KS(si,n)=0.027002	p(si,n)=3.366e-04	d(si,n)=0.046
L=11	N_self=1410	N_similar=10174	N_non=15968102	KS(s,n)=0.050774	p(s,n)=1.342e-03	d(s,n)=0.089	KS(s,si)=0.029960	p(s,si)=2.121e-01	d(s,si)=0.043	KS(si,n)=0.039409	p(si,n)=3.706e-14	d(si,n)=0.046
L=12	N_self=726	N_similar=4088	N_non=10738143	KS(s,n)=0.084969	p(s,n)=5.221e-05	d(s,n)=0.172	KS(s,si)=0.087149	p(s,si)=1.588e-04	d(s,si)=0.216	KS(si,n)=0.095471	p(si,n)=7.255e-33	d(si,n)=-0.048
L=13	N_self=464	N_similar=2514	N_non=6469246	KS(s,n)=0.060114	p(s,n)=6.710e-02	d(s,n)=0.132	KS(s,si)=0.105336	p(s,si)=3.057e-04	d(s,si)=0.179	KS(si,n)=0.085225	p(si,n)=2.501e-16	d(si,n)=-0.052
L=14	N_self=395	N_similar=2177	N_non=5388607	KS(s,n)=0.063264	p(s,n)=8.110e-02	d(s,n)=0.088	KS(s,si)=0.078311	p(s,si)=3.114e-02	d(s,si)=0.134	KS(si,n)=0.072419	p(si,n)=2.275e-10	d(si,n)=-0.047
L=15	N_self=209	N_similar=1040	N_non=3092836	KS(s,n)=0.121944	p(s,n)=3.631e-03	d(s,n)=0.219	KS(s,si)=0.176265	p(s,si)=3.339e-05	d(s,si)=0.294	KS(si,n)=0.106794	p(si,n)=8.781e-11	d(si,n)=-0.078
L=16	N_self=215	N_similar=876	N_non=3406979	KS(s,n)=0.166787	p(s,n)=1.072e-05	d(s,n)=0.346	KS(s,si)=0.176994	p(s,si)=3.325e-05	d(s,si)=0.296	KS(si,n)=0.060864	p(si,n)=2.905e-03	d(si,n)=0.047
L=17	N_self=57	N_similar=404	N_non=1245932	KS(s,n)=0.173070	p(s,n)=5.800e-02	d(s,n)=0.387	KS(s,si)=0.177393	p(s,si)=7.513e-02	d(s,si)=0.299	KS(si,n)=0.101539	p(si,n)=4.439e-04	d(si,n)=0.095
L=18	N_self=98	N_similar=483	N_non=1289862	KS(s,n)=0.175240	p(s,n)=4.205e-03	d(s,n)=0.270	KS(s,si)=0.152470	p(s,si)=4.014e-02	d(s,si)=0.178	KS(si,n)=0.080552	p(si,n)=3.571e-03	d(si,n)=0.091
L=19	N_self=83	N_similar=341	N_non=1332103	KS(s,n)=0.251047	p(s,n)=4.267e-05	d(s,n)=0.427	KS(s,si)=0.309402	p(s,si)=3.651e-06	d(s,si)=0.478	KS(si,n)=0.123881	p(si,n)=5.092e-05	d(si,n)=-0.058
L=20	N_self=52	N_similar=117	N_non=1128080	KS(s,n)=0.224527	p(s,n)=8.749e-03	d(s,n)=0.435	KS(s,si)=0.279915	p(s,si)=5.613e-03	d(s,si)=0.357	KS(si,n)=0.077625	p(si,n)=4.583e-01	d(si,n)=0.067
L=21	N_self=53	N_similar=78	N_non=664521	KS(s,n)=0.172317	p(s,n)=7.595e-02	d(s,n)=0.280	KS(s,si)=0.290760	p(s,si)=7.296e-03	d(s,si)=0.516	KS(si,n)=0.248854	p(si,n)=9.653e-05	d(si,n)=-0.260
L=22	N_self=57	N_similar=164	N_non=782209	KS(s,n)=0.324752	p(s,n)=7.489e-06	d(s,n)=0.715	KS(s,si)=0.336650	p(s,si)=9.034e-05	d(s,si)=0.767	KS(si,n)=0.136935	p(si,n)=3.824e-03	d(si,n)=-0.057
L=25	N_self=55	N_similar=120	N_non=420550	KS(s,n)=0.494591	p(s,n)=6.025e-13	d(s,n)=0.962	KS(s,si)=0.354545	p(s,si)=9.819e-05	d(s,si)=0.945	KS(si,n)=0.236600	p(si,n)=2.152e-06	d(si,n)=0.082
