DOMAIN_ID	CATH_C	CATH_A	CATH_T	CATH_H	DOMAIN_LENGTH
2r0dA02	1	10	1000	11	124
1tgrA00	1	10	100	10	52
1eakA01	1	10	101	10	63
1yf3A02	1	10	1020	10	95
5douA01	1	10	1030	10	171
3iqdB02	1	10	1040	10	198
5o5jD01	1	10	1050	10	106
1gteA02	1	10	1060	10	157
7wzwF01	1	10	1070	11	203
1bccF00	1	10	1090	10	100
1cf7B00	1	10	10	10	82
1l6hA00	1	10	110	10	69
1p2eA02	1	10	1130	10	99
6fkfB03	1	10	1140	10	122
4griA03	1	10	1160	10	84
3uehA00	1	10	1170	10	137
1znvA00	1	10	1200	20	87
2wvfA01	1	10	1220	10	38
4hehA01	1	10	1240	10	83
3iefA02	1	10	1270	20	63
3nq0A00	1	10	1280	10	283
4jcsA02	1	10	12	10	61
7eg1A01	1	10	1300	10	344
5fj8A06	1	10	132	30	147
4wi0B02	1	10	1330	10	62
1qhdA02	1	10	1350	10	227
3ju5A01	1	10	135	10	91
1ka2A00	1	10	1370	30	497
2wu8A03	1	10	1390	10	45
5ublA02	1	10	1400	10	151
1cmbA00	1	10	140	10	104
4at7B01	1	10	1410	40	133
3thxB03	1	10	1420	10	184
7rdbV01	1	10	1450	10	116
2fi1A02	1	10	150	240	64
1iwpG02	1	10	1510	20	93
3rv1B02	1	10	1520	10	154
1nxuA01	1	10	1530	10	78
1vq8W02	1	10	15	30	56
1jeyA04	1	10	1600	10	94
1j33A01	1	10	1610	10	60
1vq8200	1	10	1620	10	46
8etcR01	1	10	1650	10	48
3ucsA00	1	10	1660	10	99
4uobA01	1	10	1670	10	116
3pvuA02	1	10	167	10	80
3jamI03	1	10	168	20	46
4nqwA01	1	10	1740	10	84
4dveA00	1	10	1760	20	184
7ekoO01	1	10	1780	10	154
2qcyA03	1	10	1840	10	107
3kusB01	1	10	1900	10	66
1dk8A01	1	10	196	10	48
6o3bH00	1	10	2000	10	124
1j5sA02	1	10	2020	10	91
5fcyA00	1	10	2090	10	134
1f1eA00	1	10	20	10	147
6ra3A02	1	10	210	20	70
2ii2A04	1	10	220	10	79
1of9A00	1	10	225	10	77
4e6yA03	1	10	230	10	107
1hqvA00	1	10	238	10	178
2pidA02	1	10	240	10	87
2ruhA00	1	10	245	10	131
4k71A06	1	10	246	10	75
4y42A01	1	10	260	40	87
1bgwA03	1	10	268	10	111
6hqfB03	1	10	274	20	115
2ptrA01	1	10	275	10	117
4fccA01	1	10	285	10	73
1is8A01	1	10	286	10	60
3vbbE01	1	10	287	40	119
6ozwA04	1	10	290	10	121
1iweA02	1	10	300	10	100
1mpxA02	1	10	3020	10	67
2ipcA04	1	10	3060	10	242
1kplA00	1	10	3080	10	430
3aqlA02	1	10	3090	10	248
2hdzA00	1	10	30	10	66
1t3dA01	1	10	3130	10	136
4l1jB00	1	10	3210	10	187
1dqaD01	1	10	3270	10	60
4x2cA00	1	10	3290	10	207
2q37A00	1	10	3330	10	137
4b21A02	1	10	340	30	117
5hzzC00	1	10	3420	10	141
3hd6A00	1	10	3430	10	403
2o01200	1	10	3460	10	166
4k84A00	1	10	3520	10	206
2gttC01	1	10	3570	10	179
2iaiA02	1	10	357	10	133
2qtsA03	1	10	3590	10	88
3hhwK02	1	10	3610	10	200
7mqvC02	1	10	3660	10	105
7mc0A01	1	10	3720	10	221
2rcyA02	1	10	3730	10	104
2y4zA00	1	10	375	10	135
2nwlC00	1	10	3860	10	403
4gaaA03	1	10	390	10	157
1rxxA02	1	10	3930	10	83
5do9A02	1	10	400	10	118
8eefB01	1	10	405	10	126
2wocA00	1	10	4080	10	291
3v6zE00	1	10	4090	10	148
3u13A02	1	10	40	40	55
1vkaB00	1	10	418	10	129
4uscA02	1	10	420	10	144
2bidA00	1	10	437	10	197
2ae4A00	1	10	439	10	160
5b1aD00	1	10	442	10	144
2a3vA02	1	10	443	10	211
5o5jG01	1	10	455	10	134
2vfrA05	1	10	45	10	38
2o5cB02	1	10	460	10	203
1eysC02	1	10	468	10	144
7jv7B01	1	10	472	10	146
1w36C04	1	10	486	10	209
6ekzA00	1	10	489	10	325
2wtgA00	1	10	490	10	158
2qkwB02	1	10	510	10	197
1ub2A01	1	10	520	10	200
153lA00	1	10	530	10	185
2n80A00	1	10	533	10	94
2c12A01	1	10	540	10	127
1pbwB00	1	10	555	10	195
1j4zA01	1	10	560	10	249
6fzgA00	1	10	565	10	276
6x6uA02	1	10	569	10	214
1khoA01	1	10	575	10	250
2e0iD03	1	10	579	10	173
3o8jA01	1	10	580	10	247
3nf2A00	1	10	600	10	338
1sigA00	1	10	601	10	305
3j7aW01	1	10	60	20	60
4a5hA00	1	10	620	20	271
3danA00	1	10	630	10	473
4kvkA00	1	10	640	10	611
1e3dB00	1	10	645	10	537
1khcA02	1	10	720	50	69
3zgzD01	1	10	730	10	207
8bebC02	1	10	750	10	44
1chhA00	1	10	760	10	108
1b10A00	1	10	790	10	104
1phzA00	1	10	800	10	403
1a1vA03	1	10	820	10	160
4l9mA02	1	10	840	10	258
3gxvB00	1	10	860	10	123
5wkrA02	1	10	890	20	52
4i5sA01	1	10	8	500	65
1sqgA01	1	10	940	10	141
3cbuA02	1	20	1050	10	132
1t7pA02	1	20	1060	10	157
8hmpR01	1	20	1070	10	266
3kcuD00	1	20	1080	10	248
3rf7A02	1	20	1090	10	161
2zxeA02	1	20	1110	10	416
1epwA02	1	20	1120	10	331
1jb0A00	1	20	1130	10	740
2nrjA01	1	20	1170	10	323
1j2zA02	1	20	1180	10	67
1nogA00	1	20	1200	10	149
3levA00	1	20	120	1810	177
3cv2A02	1	20	1220	12	121
2wscL00	1	20	1240	10	161
1ekuB02	1	20	1250	10	126
3e2cA00	1	20	1260	10	158
2efkA01	1	20	1270	60	256
7v3gA02	1	20	1280	260	95
1gu9C00	1	20	1290	10	166
2wdqD00	1	20	1300	10	105
2wzkA01	1	20	1310	10	127
3zd7A03	1	20	1320	30	129
3pwxA01	1	20	1330	10	178
4ensA02	1	20	1370	20	104
2ddhA03	1	20	140	10	157
1efyA01	1	20	142	10	136
4u6rA03	1	20	1440	180	129
1vnsA01	1	20	144	10	175
4xd7C03	1	20	150	20	127
3zuxA00	1	20	1530	20	308
2irvB00	1	20	1540	10	179
8iprA01	1	20	1560	10	311
1yc9A01	1	20	1600	10	327
2ww3A04	1	20	1610	10	175
2dhhA05	1	20	1640	10	225
2p7nA00	1	20	1710	10	327
7qydA01	1	20	190	10	234
2felA00	1	20	200	10	337
6oqrR00	1	20	20	10	76
3ayfA01	1	20	210	10	564
1fgmA05	1	20	245	10	347
6vvoC03	1	20	272	10	91
2yu1A02	1	20	58	1360	106
2fp1B00	1	20	59	10	164
1nhlA00	1	20	5	110	52
1hbkA00	1	20	80	10	89
7e1wB01	1	20	810	10	423
1r12A01	1	20	82	10	119
1hbmA03	1	20	840	10	257
1e6dM01	1	20	85	10	143
4jgwA01	1	20	870	10	156
3g36B00	1	20	890	10	50
1by1A00	1	20	900	10	209
2wg7A00	1	20	90	10	121
3bjdA02	1	20	910	10	217
3md2A01	1	20	91	10	67
3u5nA02	1	20	920	10	120
1eo0A00	1	20	930	10	77
5az7A01	1	20	960	10	62
4ga4A01	1	20	970	10	67
1ja1A03	1	20	990	10	126
8c4aA01	1	25	10	10	470
4c9bB00	1	25	40	180	277
5dllA05	1	25	50	10	318
7bjtA01	1	50	10	100	348
5gvyA00	2	100	10	30	145
4k8wA00	2	10	109	10	118
1h8pA01	2	10	10	10	40
4uf0A03	2	10	110	20	65
3la4A03	2	10	150	10	112
1ppjI00	2	10	210	10	43
7rh5M01	2	102	10	10	168
1yy9A04	2	10	220	10	134
3n99I01	2	102	30	10	151
3k6sD05	2	10	25	10	57
2fy9A00	2	10	260	10	54
4aygB01	2	10	270	10	178
6ng3A01	2	10	50	10	42
2i9bG02	2	10	60	10	84
1bi6H00	2	10	69	10	41
4f4oC01	2	10	70	10	57
1rv0H01	2	10	77	10	92
5vb9A01	2	10	90	10	91
3lp9A00	2	110	10	10	227
5aycA00	2	115	10	20	386
1q7fB00	2	120	10	30	282
1u4cB00	2	130	10	10	328
