# CATH_ID	S35_REPS	DOMAINS	NAME
1.10.8.10	73	318	DNA helicase RuvA subunit, C-terminal domain
1.10.8.20	5	24	N-terminal domain of phosphatidylinositol transfer protein sec14p
1.10.8.40	2	15	Albumin-binding domain
1.10.8.50	14	543	
1.10.8.60	60	745	
1.10.8.70	5	34	Glutamate-tRNA synthetase, class I, anticodon-binding domain 1
1.10.8.80	3	38	Magnesium chelatase subunit I, C-Terminal domain
1.10.8.100	9	43	Ribosomal RNA adenine dimethylase-like, domain 2
1.10.8.110	2	26	Photosystem I PsaF, reaction centre subunit III
1.10.8.130	2	8	
1.10.8.140	4	6	PDCD5-like
1.10.8.160	1	4	DNA primase S; domain 2
1.10.8.190	1	19	Carbon monoxide dehydrogenase alpha subunit. Chain M, domain 1
1.10.8.200	1	3	Replisome organizer (g39p helicase loader/inhibitor protein)
1.10.8.210	1	6	Sirohaem synthase, dimerisation domain
1.10.8.240	1	10	CofD-like domain
1.10.8.250	1	1	DNA polymerase III clamp loader domain like
1.10.8.260	2	2	HI0933 insert domain-like
1.10.8.270	3	10	putative rabgap domain of human tbc1 domain family member 14 like domains
1.10.8.280	3	18	ABC transporter ATPase domain-like
1.10.8.290	1	1	uncharacterized protein sp1917 domain
1.10.8.330	1	1	PG0816-like
1.10.8.340	1	1	PG0816-like
1.10.8.350	1	11	Bacterial muramidase
1.10.8.360	2	3	3,6-anhydro-alpha-l-galactosidase
1.10.8.370	1	5	nsp7 replicase
1.10.8.380	2	4	Uncharacterised protein PF01937, DUF89, domain 1
1.10.8.390	1	4	Internalin N-terminal Cap domain-like
1.10.8.400	1	12	Enoyl acyl carrier protein reductase
1.10.8.420	2	11	RecR Domain 1
1.10.8.430	1	13	Helical domain of apoptotic protease-activating factors
1.10.8.440	1	11	Vesicular stomatitis virus phosphoprotein C-terminal domain
1.10.8.460	1	1	ppGaNTase-T1 linker domain-like
1.10.8.470	1	1	
1.10.8.480	1	4	
1.10.8.490	1	16	Ced-4 linker helical domain-like
1.10.8.500	2	34	HAMP domain in histidine kinase
1.10.8.520	1	3	ExsD N-terminal domain-like
1.10.8.530	1	1	DNA polymerase alpha-primase, subunit B, N-terminal domain
1.10.8.540	1	2	FHIPEP family, domain 3
1.10.8.550	2	3	Proto-chlorophyllide reductase 57 kD subunit B
1.10.8.560	1	4	Antirestriction protein ArdA, domain 2
1.10.8.570	1	2	Hypothetical protein YfmB
1.10.8.590	2	4	
1.10.8.600	1	12	Phage phi29 replication organiser protein p16.7-like
1.10.8.610	1	2	SirC, precorrin-2 dehydrogenase, C-terminal helical domain-like
1.10.8.620	1	12	ORF12 helical bundle domain-like
1.10.8.640	1	2	Cytochrome C biogenesis protein
1.10.8.650	1	1	Uncharacterised protein PF13642 yp_926445, C-terminal domain
1.10.8.660	1	1	
1.10.8.680	1	7	Ypt/Rab-GAP domain of gyp1p, domain 2
1.10.8.700	1	4	Bacteriophage clamp loader A subunit, A domain
1.10.8.710	2	12	
1.10.8.720	2	12	Region D6 of dynein motor
1.10.8.730	1	8	
1.10.8.740	1	8	
1.10.8.750	1	8	Phosphoribosylformylglycinamidine synthase, linker domain
1.10.8.760	1	1	Haem-binding uptake, Tiki superfamily, ChaN, domain 2
1.10.8.770	1	1	
1.10.8.790	1	7	RNA-dependent RNA polymerase, slab domain, helical subdomain-like
1.10.8.800	1	1	D-family DNA polymerase, DP1 subunit N-terminal domain
1.10.8.810	1	4	Daxx helical bundle domain
1.10.8.840	2	2	Ribosome-associated complex head domain
1.10.8.850	1	1	Histone-lysine N methyltransferase , C-terminal domain-like
1.10.8.860	1	2	Enterocin 7a-like
1.10.8.870	3	14	Alpha-glycerophosphate oxidase, cap domain
1.10.8.880	1	2	Birnavirus VP3 protein, domain 2
1.10.8.890	1	1	
1.10.8.900	1	4	
1.10.8.930	1	2	Protein of unknown function DUF1465
1.10.8.940	1	3	Uncharacterised protein, phage p2 ORF12
1.10.8.950	3	66	Filoviridae VP35, C-terminal inhibitory domain, helical subdomain
1.10.8.960	1	4	
1.10.8.970	2	26	Flavivirus envelope glycoprotein M-like
1.10.8.990	1	1	
1.10.8.1000	1	24	Ornithine 4,5 aminomutase S component, alpha subunit-like
1.10.8.1010	1	1	
1.10.8.1020	1	3	RecQ-mediated genome instability protein 1, N-terminal domain
1.10.8.1040	1	1	
1.10.8.1050	1	3	Antitoxin VbhA-like
1.10.8.1060	1	2	Corynebacterium glutamicum thioredoxin-dependent arsenate reductase, N-terminal domain
1.10.8.1070	1	3	
1.10.8.1080	2	15	
1.10.8.1120	1	5	Histone RNA hairpin-binding protein RNA-binding domain
1.10.8.1130	1	2	Bacterial toxin RNase RnlA/LsoA, C-terminal Dmd-binding domain
1.10.8.1160	1	9	
1.10.8.1170	1	4	
1.10.8.1180	1	6	
1.10.8.1190	2	38	
1.10.8.1210	4	38	
1.10.8.1220	1	2	
1.10.8.1240	1	6	
1.10.8.1290	1	1	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1, domain 1
1.10.8.1310	1	6	
1.10.8.1320	2	2	
1.10.8.1330	1	2	Intein homing endonuclease, domain III
1.10.10.10	524	3444	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
1.10.10.41	2	17	Yeast DNA topoisomerase - domain 1
1.10.10.60	176	1221	Homeodomain-like
1.10.10.140	1	97	Cytochrome c oxidase, subunit VIb
1.10.10.160	5	32	
1.10.10.180	2	57	
1.10.10.190	2	2	
1.10.10.200	5	61	
1.10.10.250	5	197	Ribosomal protein L11, C-terminal domain
1.10.10.350	7	38	
1.10.10.370	1	14	DsrC-like protein, C-terminal domain
1.10.10.390	2	6	
1.10.10.400	5	32	Polyribonucleotide nucleotidyltransferase, RNA-binding domain
1.10.10.410	2	3	
1.10.10.430	1	9	Phosphatase 2C, C-terminal domain suprefamily
1.10.10.440	13	22	FF domain
1.10.10.450	1	18	TraM protein, DNA-binding
1.10.10.460	2	19	Ribonuclease hii. Domain 2
1.10.10.470	1	4	Maltooligosyl trehalose synthase; domain 4
1.10.10.480	1	4	Phosphofructokinase; domain 3
1.10.10.490	1	3	Beta-catenin-interacting ICAT
1.10.10.500	1	3	Homeo-prospero domain
1.10.10.510	2	63	Zinc finger, large T-antigen D1 domain
1.10.10.520	3	37	Ubiquitin activating enzymes (Uba3). Chain: B, domain 2
1.10.10.530	1	8	mam-mhc complex, Chain D, Domain 2
